alfa ,iteration,
0.002,88,
0.001,72,
0.003,1604,
0.004,NA,
0.0009,70,
0.0008,68,
0.0007,65,
0.0006,62,
0.0005,57,
0.0004,50,
0.0003,39,
0.0002,29,
0.0001,34,
0.00009,35,
0.00008,36,
0.00007,37,
0.00006,38,
0.00005,39,
0.00004,41,
0.00003,47,
0.00002,56,acc down
0.00001,77,
0.000009,80,
0.000008,82,
0.000007,82,
0.000006,76,
0.000005,54,
0.000004,28,
0.000003,6,
0.000002,1,
0.000001,1,
0.0000009,1,
0.0000008,1,
0.0000007,1,
0.0000006,1,
0.0000005,1,
0.0000004,1,
0.0000003,1,
0.0000002,1,
0.0000001,1,
0.00000009,1,
0.00000008,1,
0.00000007,1,
0.00000006,1,
0.00000005,1,
0.00000004,1,
0.00000003,1,
0.00000002,1,
0.00000001,1,
1e-05, 77
