Feed Forward Cros Validation
round, Train size, Test size, Real Positive, Real Negative, TP, TN, FP, FN, Accuracy, TPR (Recall), Percision, F1 Score, Alfa (learning rate), itteration
1, 274, 275, 128, 147, 50, 1, 146, 78, 18.545454545454547, 0.390625, 0.25510204081632654, 0.30864197530864196, 1e-06, 1
2, 549, 274, 126, 148, 41, 1, 147, 85, 15.328467153284672, 0.3253968253968254, 0.21808510638297873, 0.2611464968152866, 1e-06, 1
3, 823, 275, 119, 156, 44, 1, 155, 75, 16.363636363636363, 0.3697478991596639, 0.22110552763819097, 0.27672955974842767, 1e-06, 1
4, 1098, 273, 120, 153, 42, 0, 153, 78, 15.384615384615385, 0.35, 0.2153846153846154, 0.26666666666666666, 1e-06, 1
Cros Validation
round, Train size, Test size, Real Positive, Real Negative, TP, TN, FP, FN, Accuracy, TPR (Recall), Percision, F1 Score, alfa, iteration
1, 1098, 274, 116, 158, 30, 3, 155, 86, 12.043795620437956, 0.25862068965517243, 0.16216216216216217, 0.19933554817275748, 1e-06, 1
2, 1097, 275, 128, 147, 51, 1, 146, 77, 18.90909090909091, 0.3984375, 0.25888324873096447, 0.31384615384615383, 1e-06, 1
3, 1098, 274, 126, 148, 41, 1, 147, 85, 15.328467153284672, 0.3253968253968254, 0.21808510638297873, 0.2611464968152866, 1e-06, 1
4, 1097, 275, 119, 156, 44, 1, 155, 75, 16.363636363636363, 0.3697478991596639, 0.22110552763819097, 0.27672955974842767, 1e-06, 1
5, 1098, 274, 121, 153, 43, 0, 153, 78, 15.693430656934307, 0.35537190082644626, 0.2193877551020408, 0.27129337539432175, 1e-06, 1
